dQ7A,dQ10D,dQ13D,dQ14S,dQ16D,dQ17D,dQ18S,dQ19A,dQ20A,dQ21D,dQ1S,dQ9A,dQ11S,dQ12S,dQ15A
1,0,3,2,2,1,2,1,0,2,1,2,3,1,1
0,0,0,0,0,0,3,3,3,0,3,0,1,3,3
1,1,NA,NA,NA,1,2,NA,1,2,1,NA,NA,2,0
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0,1,1,NA,1,1,2,1,0,1,2,1,2,2
0,0,1,1,2,1,1,2,1,0,1,2,1,2,1
2,1,0,1,0,1,1,1,0,0,2,0,0,1,0
2,3,0,3,2,2,NA,0,0,0,2,0,2,2,1
0,1,0,1,0,1,0,1,1,0,3,0,0,1,0
1,2,2,1,1,2,1,0,0,2,1,3,2,2,1
0,0,1,1,1,1,0,3,1,1,1,1,1,1,1
0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
2,0,1,1,0,0,2,1,1,0,0,1,1,1,2
1,1,1,2,3,2,2,1,3,3,1,2,3,1,0
0,3,1,2,1,0,1,1,1,0,2,2,1,1,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,1,1,0,0,0,0,0,1,1,1,1
3,1,2,2,1,3,2,0,2,1,1,2,0,3,2
0,1,2,1,1,3,3,1,3,3,1,2,2,2,2
1,3,3,2,1,3,3,0,1,1,0,2,2,1,1
