"lhs","op","rhs","block","group","level","mi","epc","sepc.lv","sepc.all","sepc.nox"
"dQ17D","~~","dQ21D",1,1,1,21.3504602611202,-0.383779996648971,-0.383779996648971,-0.383779996648971,-0.383779996648971
"dQ17D","~~","dQ21D",2,2,1,20.8244992857574,-0.350393417849474,-0.350393417849474,-0.479917714190166,-0.479917714190166
"dQ7A","~~","dQ8S",2,2,1,19.1878513214498,-0.477421038981071,-0.477421038981071,-0.348106147719064,-0.348106147719064
"Str","=~","dQ5D",1,1,1,18.6381736034896,-0.337515029222551,-0.337515029222551,-0.284628202439971,-0.284628202439971
"Dep","=~","dQ2A",2,2,1,18.0259759596327,0.395771063143454,0.450779808520986,0.213496336250645,0.213496336250645
"Anx","=~","dQ5D",1,1,1,17.4100347290521,-0.323614656378483,-0.323614656378483,-0.27290594478239,-0.27290594478239
"dQ5D","~~","dQ2A",1,1,1,14.4722340532355,-0.267432455775646,-0.267432455775646,-0.267432455775646,-0.267432455775646
"dQ8S","~~","dQ14S",1,1,1,13.3278355880018,-0.267077633304083,-0.267077633304083,-0.267077633304083,-0.267077633304083
"Str","=~","dQ2A",2,2,1,13.146310262003,0.373977801399827,0.408557087251068,0.193498998021952,0.193498998021952
"dQ5D","~~","dQ8S",1,1,1,12.5159150515987,-0.268265512348005,-0.268265512348005,-0.268265512348005,-0.268265512348005
"Str","=~","dQ2A",1,1,1,12.3901855484952,-0.38069684277256,-0.38069684277256,-0.341116401579844,-0.341116401579844
"dQ17D","~~","dQ8S",2,2,1,12.3156312515156,0.438131460842858,0.438131460842858,0.437821596240819,0.437821596240819
"dQ12S","~~","dQ14S",2,2,1,12.1554175588272,0.453841353930311,0.453841353930311,0.271960003731865,0.271960003731865
"dQ21D","~~","dQ7A",2,2,1,11.6199226990505,0.406428052873073,0.406428052873073,0.406173810149661,0.406173810149661
"Dep","=~","dQ11S",2,2,1,11.5657575841543,-0.285337976833845,-0.324997480966172,-0.257410987868183,-0.257410987868183
"dQ2A","~*~","dQ2A",2,2,1,11.3357331369532,-0.354351533182815,-0.354351533182815,-1,-1
"dQ2A","~*~","dQ2A",1,1,1,11.3354395423579,0.670387714319033,0.670387714319033,1,1
"dQ5D","~~","dQ21D",2,2,1,11.2069574236007,0.391090485531319,0.391090485531319,0.398166025105343,0.398166025105343
"dQ5D","~~","dQ10D",2,2,1,10.8839366308992,0.46627351483963,0.46627351483963,0.33635179760385,0.33635179760385
"dQ21D","~~","dQ2A",2,2,1,10.1678889115863,0.538292219643863,0.538292219643863,0.350809609129113,0.350809609129113
"dQ2A","~~","dQ9A",2,2,1,10.0779601653339,0.603902922914337,0.603902922914337,0.298233141577378,0.298233141577378
"dQ13D","~~","dQ11S",2,2,1,10.0548765630294,-0.329523887925283,-0.329523887925283,-0.311928940894193,-0.311928940894193
"Str","=~","dQ13D",2,2,1,10.005825134583,-0.33058967588439,-0.361157145020489,-0.22120090478874,-0.22120090478874
"Str","=~","dQ21D",1,1,1,9.87490311532212,0.367031408271638,0.367031408271638,0.295688144744049,0.295688144744049
"dQ5D","~~","dQ21D",1,1,1,9.83273149425897,0.312250269325961,0.312250269325961,0.312250269325961,0.312250269325961
"dQ21D","~~","dQ8S",2,2,1,9.75258021699882,0.322540826380965,0.322540826380965,0.417138253836706,0.417138253836706
"dQ21D","~~","dQ8S",1,1,1,9.56333335230951,0.337675933494061,0.337675933494061,0.337675933494061,0.337675933494061
"dQ5D","~~","dQ19A",2,2,1,9.10994905393384,-0.357618993450614,-0.357618993450614,-0.231682832146096,-0.231682832146096
"dQ4A","~~","dQ14S",2,2,1,8.73687079629621,0.392656870684449,0.392656870684449,0.23475873560667,0.23475873560667
"Anx","=~","dQ21D",1,1,1,8.59463893241675,0.335547639950644,0.335547639950644,0.270324165437143,0.270324165437143
"Dep","=~","dQ7A",2,2,1,8.27136451327027,0.242841473504104,0.27659433223256,0.181081514045341,0.181081514045341
"dQ16D","~~","dQ2A",2,2,1,8.26440066572621,0.653587813193964,0.653587813193964,0.242457430004987,0.242457430004987
"Anx","=~","dQ13D",2,2,1,8.16960085747298,-0.284295641032179,-0.306039838509616,-0.187442752034952,-0.187442752034952
"dQ5D","~~","dQ17D",1,1,1,8.15458497160054,0.276519637844676,0.276519637844676,0.276519637844676,0.276519637844676
"dQ2A","~~","dQ7A",2,2,1,8.09388966301674,-0.562009151102511,-0.562009151102511,-0.206495970017007,-0.206495970017007
"dQ1S","~~","dQ12S",1,1,1,7.86501235126208,-0.196796289379652,-0.196796289379652,-0.196796289379652,-0.196796289379652
"dQ10D","~~","dQ21D",1,1,1,7.47317246654243,-0.262215368374884,-0.262215368374884,-0.262215368374884,-0.262215368374884
"Anx","=~","dQ17D",1,1,1,7.44145328860898,0.295377029543786,0.295377029543786,0.229633734625127,0.229633734625127
"dQ10D","~~","dQ18S",1,1,1,7.41523510417461,0.27774706626271,0.27774706626271,0.27774706626271,0.27774706626271
"Dep","=~","dQ9A",2,2,1,7.15589426850394,-0.205456843381465,-0.234013562748151,-0.176417367705285,-0.176417367705285
"Str","=~","dQ17D",1,1,1,7.09767171568086,0.293516083931863,0.293516083931863,0.228186987423897,0.228186987423897
"dQ21D","~~","dQ1S",1,1,1,6.85641545354012,0.23684344096213,0.23684344096213,0.23684344096213,0.23684344096213
"dQ5D","~~","dQ6S",1,1,1,6.83861725909146,-0.202340628863191,-0.202340628863191,-0.202340628863191,-0.202340628863191
"dQ4A","~~","dQ12S",1,1,1,6.73269107512955,-0.211996327252113,-0.211996327252113,-0.211996327252113,-0.211996327252113
"dQ17D","~~","dQ2A",1,1,1,6.55594889430818,0.238419794483683,0.238419794483683,0.238419794483683,0.238419794483683
"dQ3D","~~","dQ21D",1,1,1,6.49420848148176,-0.222382733892682,-0.222382733892682,-0.222382733892682,-0.222382733892682
"Anx","=~","dQ16D",2,2,1,6.41050027444977,0.241801405888196,0.260295454903038,0.159955066467716,0.159955066467716
"Str","=~","dQ16D",2,2,1,6.22233766578344,0.248949169583779,0.271967874077052,0.167127925423375,0.167127925423375
"dQ7A","~~","dQ11S",2,2,1,6.1925827200009,0.308972846185271,0.308972846185271,0.25599557781169,0.25599557781169
"dQ19A","~~","dQ1S",1,1,1,6.14944750539349,0.189550051524154,0.189550051524154,0.189550051524154,0.189550051524154
"dQ12S","~~","dQ18S",2,2,1,5.92045893735855,0.347607105218542,0.347607105218542,0.220513057001682,0.220513057001682
"dQ17D","~~","dQ7A",2,2,1,5.87243249598972,0.331093220628067,0.331093220628067,0.255667747113635,0.255667747113635
"dQ10D","~~","dQ8S",2,2,1,5.77203930468654,0.304725991155535,0.304725991155535,0.279235659993629,0.279235659993629
"dQ21D","~~","dQ20A",1,1,1,5.55363813905386,-0.222233903286517,-0.222233903286517,-0.222233903286517,-0.222233903286517
"dQ8S","~~","dQ11S",1,1,1,5.53199282945514,0.236671502789045,0.236671502789045,0.236671502789045,0.236671502789045
"dQ14S","~~","dQ18S",1,1,1,5.51669833465786,-0.168319955126573,-0.168319955126573,-0.168319955126573,-0.168319955126573
"dQ19A","~~","dQ1S",2,2,1,5.46042209713116,-0.230162726096053,-0.230162726096053,-0.167404571365341,-0.167404571365341
"Dep","=~","dQ8S",2,2,1,5.37277656428374,0.200655288497816,0.228544633378067,0.169209098223201,0.169209098223201
"dQ7A","~~","dQ1S",1,1,1,5.29107377836637,0.193305334240497,0.193305334240497,0.193305334240497,0.193305334240497
"dQ17D","~~","dQ14S",1,1,1,5.16650916176918,0.20910210983207,0.20910210983207,0.20910210983207,0.20910210983207
"dQ21D","~~","dQ18S",1,1,1,5.07424848959072,0.226436060413999,0.226436060413999,0.226436060413999,0.226436060413999
"dQ13D","~~","dQ6S",1,1,1,5.06843122761316,-0.194785036994624,-0.194785036994624,-0.194785036994624,-0.194785036994624
