"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"Dep","=~","dQ3D",0.582616592925143,0.0345159207169793,16.879648023949,0,0.514966631426623,0.650266554423662
"Dep","=~","dQ5D",0.508358179037962,0.0368302001459976,13.8027536375798,0,0.436172313208405,0.580544044867519
"Dep","=~","dQ10D",0.713035206949602,0.027502264445429,25.92641810875,0,0.659131759143264,0.766938654755939
"Dep","=~","dQ13D",0.711762037670776,0.0257164450363189,27.6773106339374,0,0.661358731589188,0.762165343752365
"Dep","=~","dQ16D",0.577248863894488,0.0334619751037704,17.2508903644915,0,0.511664597839522,0.642833129949454
"Dep","=~","dQ17D",0.696919513727923,0.0282644599266253,24.6570964220484,0,0.641522190229262,0.752316837226584
"Dep","=~","dQ21D",0.725324786242232,0.0279280124032268,25.9712283054711,0,0.670586887772119,0.780062684712344
"Anx","=~","dQ2A",0.323198846468232,0.0425868884263277,7.58916320048465,3.21964677141295e-14,0.239730078939004,0.40666761399746
"Anx","=~","dQ4A",0.523660151457611,0.0377833524832634,13.8595470502405,0,0.449606141375233,0.59771416153999
"Anx","=~","dQ7A",0.558692721245655,0.0337965295957551,16.5310677731783,0,0.492452740435533,0.624932702055777
"Anx","=~","dQ9A",0.697525586867865,0.0253432998979329,27.5230766978675,0,0.647853631818519,0.747197541917211
"Anx","=~","dQ15A",0.756039407547954,0.0231512562965691,32.6565175497624,0,0.710663779009823,0.801415036086086
"Anx","=~","dQ19A",0.579541870384317,0.0333224597092307,17.391929510647,0,0.514231049477938,0.644852691290696
"Anx","=~","dQ20A",0.650859859229638,0.0303024680168239,21.4787739027818,0,0.591468113273986,0.71025160518529
"Str","=~","dQ1S",0.275671155988786,0.0434854679635469,6.33938575111752,2.30683028235035e-10,0.190441204929364,0.360901107048209
"Str","=~","dQ6S",0.561121147331197,0.034197197484615,16.4083956758047,0,0.494095871889148,0.628146422773246
"Str","=~","dQ8S",0.660516561668809,0.0296232432154901,22.2972399363559,0,0.602456071861178,0.71857705147644
"Str","=~","dQ11S",0.699850591803888,0.0270224729173247,25.898835903919,0,0.646887518112723,0.752813665495054
"Str","=~","dQ12S",0.647968596410341,0.0313629069652872,20.6603487721186,0,0.586498428307897,0.709438764512784
"Str","=~","dQ14S",0.407391084593281,0.0393898150643713,10.3425488017021,0,0.33018846570942,0.484593703477142
"Str","=~","dQ18S",0.5424428876053,0.0352335859637824,15.3956196273321,0,0.47338632807009,0.611499447140509
"BRS","=~","rQ1",0.41087545412513,0.0427204397419794,9.61777211580015,0,0.327144930827137,0.494605977423124
"BRS","=~","rQ3",0.571939656861493,0.0383755958136203,14.9037336029712,0,0.496724871181531,0.647154442541455
"BRS","=~","rQ5",0.300965818902436,0.0469933375243601,6.40443592129254,1.50926382502803e-10,0.208860569841356,0.393071067963517
"BRS","=~","rQ2_r",0.526814317878516,0.0458181183274863,11.4979474738158,0,0.437012456117248,0.616616179639783
"BRS","=~","rQ4_r",0.594396378040767,0.0391101341156071,15.1980143121925,0,0.517741923743645,0.671050832337888
"BRS","=~","rQ6_r",0.707719680117548,0.0364518658180447,19.4151839483401,0,0.636275335944894,0.779164024290202
"Dep","~","BRS",-0.490078330698673,0.0392507833129138,-12.4858229399319,0,-0.56700845235697,-0.413148209040376
"Dep","~","G_Female",0.161471668799167,0.0448545270654852,3.59989680781668,0.000318343490767425,0.0735584112072388,0.249384926391095
"Dep","~","AY_1st_Yr",-0.266177630991616,0.0358435782352065,-7.42608980735547,1.11910480882216e-13,-0.336429753409664,-0.195925508573567
"Dep","~","AY_2nd_Yr",-0.141078232788325,0.041233741015082,-3.42142695072762,0.000622934567101607,-0.221894880125737,-0.0602615854509118
