"lhs","op","rhs","est","se","t","df","pvalue","ci.lower","ci.upper"
"Dep","=~","dQ3D",0.551652217379702,0.0531548801500978,10.3782045189822,6707473.1716622,3.11717062318793e-25,0.447470547883367,0.655833886876037
"Dep","=~","dQ5D",0.480044758777463,0.0505288462618892,9.50041004873549,3484491.08827622,2.09190344024048e-21,0.381010005523318,0.579079512031608
"Dep","=~","dQ10D",0.830529521011528,0.0702859241593258,11.8164416409872,7858448.24107004,3.21196947729723e-32,0.69277161982155,0.968287422201506
"Dep","=~","dQ13D",0.858870917125954,0.0704348911322674,12.1938275664132,28412453.4435509,3.35361132220895e-34,0.720821061370814,0.996920772881093
"Dep","=~","dQ16D",0.592683101747407,0.0540797175156026,10.959434127525,5894113.70968027,5.99098147095031e-28,0.48668878135664,0.698677422138173
"Dep","=~","dQ17D",0.773225259224045,0.0660637169932645,11.7042348571286,7085374.57307771,1.21329472919627e-31,0.643742731113444,0.902707787334645
"Dep","=~","dQ21D",0.798856644352461,0.0704649221631097,11.3369407050971,5246510.24559835,8.6170890653574e-30,0.660747902877798,0.936965385827123
"Anx","=~","dQ2A",0.292469265874032,0.0456767909063842,6.40301693859044,3901004.67299283,1.52353487685321e-10,0.202944372991264,0.3819941587568
"Anx","=~","dQ4A",0.481148462053159,0.0530712025616048,9.06609307551764,11609654.487505,1.23379454421878e-19,0.377130805571822,0.585166118534497
"Anx","=~","dQ7A",0.549067407944521,0.0522956347567216,10.4992971306071,17078587.2602435,8.70414450383502e-26,0.446569840008652,0.65156497588039
"Anx","=~","dQ9A",0.811180590545503,0.0622815631279275,13.0244096295291,211174.207253599,9.20012698873871e-39,0.689110270256526,0.93325091083448
"Anx","=~","dQ15A",0.96198339835517,0.0742321477596882,12.9591211811546,18394687.0365949,2.08704848873835e-38,0.816491052677775,1.10747574403257
"Anx","=~","dQ19A",0.554284092051323,0.0519816964560065,10.6630627671113,23856963.7270542,1.51544618308007e-26,0.452401833973339,0.656166350129307
"Anx","=~","dQ20A",0.653996199690349,0.0584198072705305,11.1947681830209,3974338.02604923,4.3296640658327e-29,0.539495446585709,0.76849695279499
"Str","=~","dQ1S",0.255749598761567,0.0426714598647431,5.99345791243664,9988732.80055592,2.05432348028899e-09,0.172115064124677,0.339384133398458
"Str","=~","dQ6S",0.564288326728372,0.0552578931381822,10.2119044842565,32478350.2075788,1.75402973891022e-24,0.455984842279845,0.672591811176898
"Str","=~","dQ8S",0.714325868614378,0.0638541096637697,11.186842512968,3779777.57098481,4.73475807211013e-29,0.589174073332267,0.839477663896489
"Str","=~","dQ11S",0.806061473989305,0.0687181420263251,11.729966064573,11540617.9554955,8.95317888908037e-32,0.671376376407605,0.940746571571005
"Str","=~","dQ12S",0.624915144316004,0.0573452125963862,10.8974248419717,6966855.92378892,1.1862649093664e-27,0.512520573414779,0.73730971521723
"Str","=~","dQ14S",0.369986755202428,0.046354805076689,7.98162681496179,27512551.0805315,1.44422591233226e-15,0.279133002744797,0.460840507660059
"Str","=~","dQ18S",0.544149273372228,0.0543835324011172,10.0057728754863,41819694.9288762,1.43773468324318e-23,0.437559505429001,0.650739041315454
"BRS","=~","rQ1",0.441512113940966,0.0580608607176388,7.60429846343694,4382123.73045724,2.86510006037611e-14,0.327714886591629,0.555309341290304
"BRS","=~","rQ3",0.695450602865577,0.0711048712132641,9.78063233923481,2462232.64694726,1.36485334261041e-22,0.556087547655241,0.834813658075913
"BRS","=~","rQ5",0.31868281876985,0.0569262854941666,5.59816640069561,2408698.19846858,2.16654249638035e-08,0.207109293362226,0.430256344177473
"BRS","=~","rQ2_r",0.64511963863247,0.0776438260284379,8.30870491101491,2923767.37351128,9.67927579135542e-17,0.492940472996567,0.797298804268373
"BRS","=~","rQ4_r",0.748264259883964,0.0767480889333961,9.74961422861391,1440139.03464242,1.85467324750514e-22,0.597840643268719,0.898687876499209
"BRS","=~","rQ6_r",0.972212469243483,0.0983880923546955,9.88140379568082,10029321.9295256,5.0137873582722e-23,0.779375328448591,1.16504961003838
"Dep","~","BRS",-0.627373328836792,0.0677683321442114,-9.25761796087497,7665611.12805164,2.0909485112832e-20,-0.760196840104015,-0.494549817569569
"Dep","~","G_Female",0.45343610949239,0.115131252719883,3.93842765348527,306302.4657395,8.20354563815058e-05,0.227782108986972,0.679090109997808
"Dep","~","AY_1st_Yr",-0.326457100239178,0.137488119207584,-2.37443862146577,39182.2715155163,0.0175804458880441,-0.595937186591073,-0.0569770138872822
"Dep","~","AY_3rd_Yr",0.0385894398170797,0.16413249844549,0.235111511629707,229974.625756583,0.814122393449337,-0.283106038923351,0.36028491855751
"Dep","~","AY_4th_Yr",0.0396634926936942,0.170537856471032,0.232578815721373,32534138.2943859,0.816088480313993,-0.294584576425192,0.37391156181258
"Dep","~","RES_Suburb_Semi_Urban",0.309982077632081,0.144118969283276,2.15087631540571,216609.840299364,0.0314870661293169,0.0275125099746454,0.592451645289516
"Dep","~","RES_Rural",-0.0406880951433018,0.133685320476558,-0.304357239809562,365127.57691136,0.760855914544999,-0.302707377109087,0.221331186822484
"Dep","~","cgpa",-0.312073834039246,0.190880093784427,-1.63492079164468,336.672820769417,0.103000249419116,-0.687541692543762,0.0633940244652694
"Dep","~","family_income",-2.11615959613879e-07,8.69908454790667e-07,-0.243262332316108,1034.71903845057,0.807850399019444,-1.91860191080844e-06,1.49536999158068e-06
"Anx","~","BRS",-0.541395799659551,0.060872063839314,-8.89399447813519,2472470.74189614,5.89888740809568e-19,-0.660702910854416,-0.422088688464686
"Anx","~","G_Female",0.846574616992843,0.11805958696873,7.17074012140217,104797.996581373,7.50834586526889e-13,0.615179406005455,1.07796982798023
"Anx","~","AY_1st_Yr",0.209511118027172,0.135245562607448,1.54911639234539,325655.79756002,0.121354714762957,-0.0555662989652959,0.474588535019639
"Anx","~","AY_3rd_Yr",0.432720635607511,0.167582177907563,2.58213994477502,54168.0540829125,0.00982157597621893,0.104258263093064,0.761183008121959
