"lhs","op","rhs","group","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"Dep","=~","dQ3D",1,".p1.",0.527230082069706,0.0409805835804236,12.8653629598765,0,0.446909614186643,0.60755054995277
"Dep","=~","dQ5D",1,".p2.",0.528203790779856,0.0423246238086438,12.4798224590949,0,0.445249052455708,0.611158529104005
"Dep","=~","dQ10D",1,".p3.",0.682012773525737,0.0358973581406698,18.9989684158137,0,0.611655244429889,0.752370302621586
"Dep","=~","dQ13D",1,".p4.",0.714216561975543,0.0350035105401503,20.404140926274,0,0.645610941984381,0.782822181966706
"Dep","=~","dQ16D",1,".p5.",0.623788549237712,0.0361858560677495,17.2384632291085,0,0.552865574595172,0.694711523880251
"Dep","=~","dQ17D",1,".p6.",0.632335436060282,0.0373168592143805,16.9450336757335,0,0.559195735983945,0.705475136136619
"Dep","=~","dQ21D",1,".p7.",0.624051668501635,0.0398814916958579,15.6476511275141,0,0.54588538112802,0.702217955875249
"Anx","=~","dQ2A",1,".p8.",0.436083800275367,0.0475444857277527,9.17212151105078,0,0.342898320585493,0.529269279965241
"Anx","=~","dQ4A",1,".p9.",0.510822003834844,0.0431292535357971,11.8439797111458,0,0.426290220224585,0.595353787445103
"Anx","=~","dQ7A",1,".p10.",0.559455893524673,0.039941431669032,14.0069063663143,0,0.481172125962402,0.637739661086943
"Anx","=~","dQ9A",1,".p11.",0.624367182320884,0.0366165174347926,17.0515173495887,0,0.552600126909407,0.69613423773236
"Anx","=~","dQ15A",1,".p12.",0.730303109970971,0.0326485929340056,22.3685936924502,0,0.666313043674412,0.794293176267531
"Anx","=~","dQ19A",1,".p13.",0.548697330372074,0.0400882264189874,13.6872438465421,0,0.470125850386772,0.627268810357377
"Anx","=~","dQ20A",1,".p14.",0.624003094360812,0.0417108606785122,14.9602066274857,0,0.54225130966676,0.705754879054864
"Str","=~","dQ1S",1,".p15.",0.31342942424677,0.046740960060495,6.70566937095666,2.0048629423286e-11,0.221818825925374,0.405040022568165
"Str","=~","dQ6S",1,".p16.",0.55438807313602,0.0415580920689933,13.3400751943964,0,0.472935709414593,0.635840436857447
"Str","=~","dQ8S",1,".p17.",0.630300104257184,0.0387340111222628,16.2725234489054,0,0.554382837480775,0.706217371033593
"Str","=~","dQ11S",1,".p18.",0.626278807364902,0.035544683715418,17.6194789741017,0,0.556612507440815,0.695945107288989
"Str","=~","dQ12S",1,".p19.",0.538908529549532,0.0391376286654964,13.7695754169346,0,0.462200186924857,0.615616872174207
"Str","=~","dQ14S",1,".p20.",0.415539928053603,0.0449137905761887,9.25194517591895,0,0.327510516115099,0.503569339992107
"Str","=~","dQ18S",1,".p21.",0.566321130286789,0.0420265845830798,13.4753070206613,0,0.483950538110727,0.648691722462852
"BRS","=~","rQ1",1,".p22.",0.36122047745283,0.0455935083682,7.92262956681722,2.22044604925031e-15,0.271858843122333,0.450582111783328
"BRS","=~","rQ3",1,".p23.",0.46168886852964,0.0460777989299953,10.0197682886518,0,0.371378042139971,0.551999694919309
"BRS","=~","rQ5",1,".p24.",0.274412631190596,0.0440744581469429,6.2261146870079,4.78144190907415e-10,0.18802828058447,0.360796981796722
"BRS","=~","rQ2_r",1,".p25.",0.510010913582613,0.0492232406546881,10.3611811575035,0,0.413535134697076,0.606486692468149
"BRS","=~","rQ4_r",1,".p26.",0.537720742828681,0.045780106491364,11.7457294017024,0,0.447993382897199,0.627448102760163
"BRS","=~","rQ6_r",1,".p27.",0.597105346308913,0.0448413855168897,13.3159432837777,0,0.509217845678933,0.684992846938892
"Dep","~","BRS",1,"",-0.533777944496548,0.0598249242337147,-8.92233381543898,0,-0.651032641372466,-0.416523247620629
"Anx","~","BRS",1,"",-0.547592495553095,0.0559545242333357,-9.78638462315543,0,-0.657261347822506,-0.437923643283683
"Str","~","BRS",1,"",-0.453811704273501,0.0701899558064175,-6.46547927063958,1.00978336803337e-10,-0.591381489730537,-0.316241918816464
"Dep","~~","Anx",1,"",0.737214946767828,0.0497959233058004,14.8047249217679,0,0.639616730511541,0.834813163024116
"Dep","~~","Str",1,"",0.783452359750627,0.0532887249552584,14.7020286262886,0,0.679008378056259,0.887896341444994
"Anx","~~","Str",1,"",0.936771090592314,0.0448726406645587,20.8762193781966,0,0.848822330998572,1.02471985018606
"dQ3D","|","t1",1,".p34.",-0.0757976310787598,0.0555247060857046,-1.36511539496964,0.172216784110414,-0.184624055258913,0.0330287931013932
"dQ3D","|","t2",1,".p35.",0.502547400763435,0.057226993083716,8.78164959721491,0,0.390384555375829,0.614710246151041
"dQ3D","|","t3",1,".p36.",1.12335907473591,0.0779992922643871,14.402170098264,0,0.970483271078098,1.27623487839372
"dQ5D","|","t1",1,".p37.",-0.772995384160489,0.0715835807550881,-10.7985012206245,0,-0.913296624324876,-0.632694143996102
"dQ5D","|","t2",1,".p38.",0.114401741191534,0.0581181612838179,1.96843359570268,0.0490181695600884,0.000492238227561004,0.228311244155508
"dQ5D","|","t3",1,".p39.",0.823762905958575,0.0682155005330462,12.075890369807,0,0.690062981726432,0.957462830190719
"dQ10D","|","t1",1,".p40.",-0.146236954447779,0.0616384405560105,-2.37249601269348,0.0176683538357763,-0.267046078000772,-0.0254278308947853
"dQ10D","|","t2",1,".p41.",0.481613369962535,0.0603993638409912,7.97381527445291,1.55431223447522e-15,0.363232792145061,0.599993947780008
"dQ10D","|","t3",1,".p42.",1.02727608755976,0.0709612671099231,14.4765747484251,0,0.888194559726986,1.16635761539254
"dQ13D","|","t1",1,".p43.",-0.652378058271285,0.0703281787540201,-9.27619724880184,0,-0.790218755727459,-0.514537360815111
"dQ13D","|","t2",1,".p44.",0.195684417682552,0.0595228335473495,3.28755212110135,0.00101062479522129,0.0790218076719742,0.312347027693129
"dQ13D","|","t3",1,".p45.",0.855512289648412,0.0706866134612661,12.1028897517803,0,0.716969073075226,0.994055506221598
"dQ16D","|","t1",1,".p46.",-0.19332784212815,0.0609954804984774,-3.16954371943961,0.00152678487089197,-0.312876787124881,-0.0737788971314193
"dQ16D","|","t2",1,".p47.",0.605442805395766,0.0625673183519277,9.67666221509256,0,0.482813114816736,0.728072495974797
"dQ16D","|","t3",1,".p48.",1.21976515598697,0.0787317732865087,15.4926671287866,0,1.06545371590644,1.3740765960675
"dQ17D","|","t1",1,".p49.",-0.0296929643909389,0.0570114740032683,-0.520824358781475,0.602489132563609,-0.141433400142886,0.0820474713610084
"dQ17D","|","t2",1,".p50.",0.465820181962636,0.0581652919623933,8.00855916383624,1.11022302462516e-15,0.351818304566088,0.579822059359184
"dQ17D","|","t3",1,".p51.",0.970254974527725,0.0702092970689777,13.819465726519,0,0.832647280892655,1.1078626681628
"dQ21D","|","t1",1,".p52.",0.25730121805253,0.0554928931684233,4.63665171090664,3.54098322197238e-06,0.148537146044491,0.366065290060568
"dQ21D","|","t2",1,".p53.",0.65731391868858,0.0622011150059261,10.5675584533486,0,0.535401973478731,0.779225863898429
"dQ21D","|","t3",1,".p54.",1.06311500689679,0.0762747848122679,13.9379614051144,0,0.913619175736207,1.21261083805738
"dQ2A","|","t1",1,".p55.",-0.532490174475108,0.0725501157842506,-7.33961853429188,2.14273043752655e-13,-0.67468578848645,-0.390294560463766
"dQ2A","|","t2",1,".p56.",0.164581103784829,0.0640695627657061,2.56878768451535,0.0102054963262139,0.0390070682588168,0.290155139310842
"dQ2A","|","t3",1,".p57.",0.737955199455025,0.0689641326799795,10.7005652181465,0,0.602787983177224,0.873122415732827
"dQ4A","|","t1",1,".p58.",0.1906874066625,0.0592148477647119,3.22026339441402,0.0012807286514247,0.074628437693643,0.306746375631358
"dQ4A","|","t2",1,".p59.",0.854899584371141,0.0667294592097529,12.8114268344946,0,0.724112247612191,0.985686921130091
"dQ4A","|","t3",1,".p60.",1.32131233302319,0.089260589934575,14.8028635480862,0,1.14636479151262,1.49625987453375
"dQ7A","|","t1",1,".p61.",-0.0919114553163181,0.0611422521659298,-1.50323961025979,0.132777266583317,-0.211748067495207,0.0279251568625704
"dQ7A","|","t2",1,".p62.",0.592911969149354,0.0625608707328851,9.47736120363315,0,0.470294915671433,0.715529022627275
"dQ7A","|","t3",1,".p63.",1.15726717421415,0.0782349928183029,14.7921937808807,0,1.00392940595952,1.31060494246877
"dQ9A","|","t1",1,".p64.",-0.683052709707806,0.0710173966086381,-9.61810404670232,0,-0.822244249336533,-0.543861170079078
"dQ9A","|","t2",1,".p65.",0.123690773413967,0.0582149024453169,2.12472697227577,0.0336094014780739,0.00959166125763351,0.237789885570301
"dQ9A","|","t3",1,".p66.",0.811081110767268,0.0655949422236564,12.3649946668412,0,0.682517386440916,0.93964483509362
"dQ15A","|","t1",1,".p67.",-0.101887992696327,0.0634403363637767,-1.60604433293174,0.108264169549787,-0.226228767136436,0.0224527817437824
"dQ15A","|","t2",1,".p68.",0.596358264331663,0.0635029298581401,9.39103543196943,0,0.471894808896936,0.720821719766391
"dQ15A","|","t3",1,".p69.",1.27410331838526,0.080638344429687,15.8002167256326,0,1.11605506753014,1.43215156924038
"dQ19A","|","t1",1,".p70.",-0.204891218127826,0.0625596687434955,-3.27513272117716,0.00105612343424366,-0.327505915749833,-0.0822765205058186
"dQ19A","|","t2",1,".p71.",0.497145050680577,0.0609586415660677,8.15544831558893,4.44089209850063e-16,0.377668308664598,0.616621792696556
"dQ19A","|","t3",1,".p72.",1.13272361313617,0.0786107234606779,14.4092760283878,0,0.978649426354603,1.28679779991774
"dQ20A","|","t1",1,".p73.",0.0459242980542789,0.0606093584759854,0.75770968723378,0.448624798427369,-0.0728678616847298,0.164716457793288
