"lhs","op","rhs","group","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"Dep","=~","dQ3D",1,".p1.",0.482632095602316,0.054832218114197,8.80198015329521,0,0.375162922906045,0.590101268298586
"Dep","=~","dQ5D",1,".p2.",0.423641073691987,0.0517735503198077,8.18257722476314,2.22044604925031e-16,0.322166779713391,0.525115367670582
"Dep","=~","dQ10D",1,".p3.",0.685001390464736,0.0421462434037035,16.2529643248001,0,0.602396271309818,0.767606509619653
"Dep","=~","dQ13D",1,".p4.",0.764734864031918,0.0358153682994437,21.352142958245,0,0.694538032071971,0.834931695991865
"Dep","=~","dQ16D",1,".p5.",0.580642845799067,0.0464412250975504,12.5027460963706,0,0.489619717209951,0.671665974388184
"Dep","=~","dQ17D",1,".p6.",0.679365556910938,0.0403540336788766,16.8351338138114,0,0.600273104269424,0.758458009552453
"Dep","=~","dQ21D",1,".p7.",0.64918913596827,0.0442319998249295,14.6769112528885,0,0.562496009347226,0.735882262589313
"Anx","=~","dQ2A",1,".p8.",0.361171687453347,0.0528301601555131,6.83646777503962,8.11706257763944e-12,0.257626476251059,0.464716898655636
"Anx","=~","dQ4A",1,".p9.",0.552406203237639,0.0494456780235156,11.1719815627753,0,0.455494455120385,0.649317951354893
"Anx","=~","dQ7A",1,".p10.",0.582554582709648,0.046372730087202,12.5624387784411,0,0.491665701873935,0.673443463545361
"Anx","=~","dQ9A",1,".p11.",0.691972251632801,0.0389540929755082,17.7637880586225,0,0.615623632350381,0.768320870915222
"Anx","=~","dQ15A",1,".p12.",0.764441405443303,0.0340202744088262,22.4701716469688,0,0.697762892857834,0.831119918028772
"Anx","=~","dQ19A",1,".p13.",0.551277282862674,0.0482726100607676,11.4200844364683,0,0.456664705703824,0.645889860021525
"Anx","=~","dQ20A",1,".p14.",0.608111379146751,0.0456184052960158,13.3303953788113,0,0.518700947734408,0.697521810559093
"Str","=~","dQ1S",1,".p15.",0.377853471111952,0.0517241298648796,7.30516824737371,2.76889622341514e-13,0.276476039445116,0.479230902778789
"Str","=~","dQ6S",1,".p16.",0.618677430066067,0.0457987434040001,13.5086114614235,0,0.528913542457036,0.708441317675099
"Str","=~","dQ8S",1,".p17.",0.732845078860403,0.0416792084570769,17.5829893606334,0,0.651155331380395,0.814534826340411
"Str","=~","dQ11S",1,".p18.",0.704976286516748,0.0393020725832219,17.9373819287511,0,0.627945639735854,0.782006933297642
"Str","=~","dQ12S",1,".p19.",0.562862752054603,0.0466737509184678,12.0595139875911,0,0.471383881231013,0.654341622878193
"Str","=~","dQ14S",1,".p20.",0.491142184399427,0.0477602358995063,10.2834957815714,0,0.397533842143257,0.584750526655596
"Str","=~","dQ18S",1,".p21.",0.581980630685011,0.0474591769479295,12.2627628229529,0,0.488962353131156,0.674998908238867
"BRS","=~","rQ1",1,".p22.",0.408216513147701,0.0530473147879744,7.69532849644338,1.4210854715202e-14,0.304245686686713,0.51218733960869
"BRS","=~","rQ3",1,".p23.",0.537583605311873,0.0480762393265681,11.1818980195231,0,0.443355907719671,0.631811302904075
"BRS","=~","rQ5",1,".p24.",0.310441628988422,0.0475689183771455,6.52614437282588,6.74842404180254e-11,0.217208262185691,0.403674995791152
"BRS","=~","rQ2_r",1,".p25.",0.513731507360047,0.0536538963142469,9.57491520002871,0,0.408571802953876,0.618891211766217
"BRS","=~","rQ4_r",1,".p26.",0.585358427372265,0.0480238437459374,12.1889124591736,0,0.491233423231049,0.679483431513482
"BRS","=~","rQ6_r",1,".p27.",0.641169471190508,0.0503001966414581,12.7468581437323,0,0.542582897357967,0.739756045023048
"Dep","~","BRS",1,"",-0.465150889211479,0.0654945394362495,-7.102132379513,1.2285727990502e-12,-0.593517827690566,-0.336783950732392
"Anx","~","BRS",1,"",-0.485276129689256,0.0635533108486247,-7.63573326407994,2.24265050974282e-14,-0.609838330050839,-0.360713929327673
"Str","~","BRS",1,"",-0.481710149223117,0.0691328923226686,-6.96788653040579,3.2174263253637e-12,-0.617208128322633,-0.346212170123601
"Dep","~~","Anx",1,"",0.771470807005697,0.0524202146006823,14.7170478580157,0,0.668729074326499,0.874212539684895
"Dep","~~","Str",1,"",0.853720849091109,0.0457027478882705,18.6798581822301,0,0.764145109235585,0.943296588946633
"Anx","~~","Str",1,"",0.901713707260955,0.0410952404825911,21.9420472218174,0,0.821168515979064,0.982258898542846
"dQ3D","|","t1",1,".p34.",-0.243274697906697,0.0590259837281173,-4.12148485364102,3.76438224662934e-05,-0.358963500165854,-0.127585895647539
"dQ3D","|","t2",1,".p35.",0.344376999948947,0.0610848951482414,5.63767849831304,1.72357910166454e-08,0.224652805458988,0.464101194438905
"dQ3D","|","t3",1,".p36.",0.985034276095915,0.0916786453822267,10.7444244184576,0,0.805347432995331,1.1647211191965
"dQ5D","|","t1",1,".p37.",-0.794713367805999,0.0807437578468224,-9.84241245389688,0,-0.952968225162194,-0.636458510449803
"dQ5D","|","t2",1,".p38.",-0.0286004204156182,0.0534036943707201,-0.535551346262274,0.592268662057141,-0.133269738023614,0.0760688971923777
"dQ5D","|","t3",1,".p39.",0.592620933788415,0.0740803750749998,7.99970212338205,1.33226762955019e-15,0.447426066680196,0.737815800896633
"dQ10D","|","t1",1,".p40.",-0.381006796254382,0.0681189060003063,-5.59326064709067,2.22844362962604e-08,-0.514517398681251,-0.247496193827512
"dQ10D","|","t2",1,".p41.",0.282852698017319,0.0657823870084078,4.2998241760544,1.70933668863782e-05,0.153921588663764,0.411783807370874
"dQ10D","|","t3",1,".p42.",0.871302625009476,0.0790558745082969,11.0213520554761,0,0.716355958206896,1.02624929181206
"dQ13D","|","t1",1,".p43.",-0.945054390486108,0.083671888138471,-11.2947659185378,0,-1.10904827775598,-0.781060503216241
"dQ13D","|","t2",1,".p44.",-0.00240426867711078,0.0691187677318863,-0.0347845998417826,0.972251500746489,-0.137874564087397,0.133066026733176
"dQ13D","|","t3",1,".p45.",0.737149625147838,0.0817517538133917,9.0169273533932,0,0.576919132000605,0.897380118295071
"dQ16D","|","t1",1,".p46.",-0.385679221985461,0.0651267886215091,-5.92197512189453,3.18097748142065e-09,-0.513325382112371,-0.25803306185855
"dQ16D","|","t2",1,".p47.",0.42640330428679,0.0655063891060681,6.5093391668461,7.54820650428201e-11,0.29801314088163,0.55479346769195
"dQ16D","|","t3",1,".p48.",1.04443315878871,0.0874531702344345,11.9427706964643,0,0.873028094795364,1.21583822278205
"dQ17D","|","t1",1,".p49.",-0.276093100408379,0.0669714064278337,-4.12255192379584,3.74698114018468e-05,-0.407354645000927,-0.144831555815831
"dQ17D","|","t2",1,".p50.",0.292229093942601,0.0682497076173044,4.28176330924687,1.8541814863493e-05,0.158462125057295,0.425996062827906
"dQ17D","|","t3",1,".p51.",0.893145633696205,0.0826634712242238,10.8045986996307,0,0.731128207259663,1.05516306013275
"dQ21D","|","t1",1,".p52.",0.0571930803337147,0.0617133429761961,0.926753884581735,0.354054333295944,-0.0637628492651976,0.178149009932627
"dQ21D","|","t2",1,".p53.",0.492134137191275,0.0681685884149067,7.21936816699081,5.22248910783674e-13,0.358526159021124,0.625742115361427
"dQ21D","|","t3",1,".p54.",0.95098884384175,0.0817848617961128,11.6279323942924,0,0.790693460240783,1.11128422744272
"dQ2A","|","t1",1,".p55.",-0.478752394322442,0.0696993469784976,-6.86882180503267,6.47348841198436e-12,-0.615360604146258,-0.342144184498626
"dQ2A","|","t2",1,".p56.",0.150103882301795,0.0594342354645717,2.52554577557021,0.0115518730973219,0.0336149213425608,0.266592843261028
"dQ2A","|","t3",1,".p57.",0.634778946319644,0.0770427447056978,8.23930856493354,2.22044604925031e-16,0.483777941426362,0.785779951212925
"dQ4A","|","t1",1,".p58.",0.088312445776282,0.0647762248457932,1.36334659802295,0.172773302690218,-0.0386466219759414,0.215271513528505
"dQ4A","|","t2",1,".p59.",0.806312228910429,0.0761464875773874,10.5889615471886,0,0.657067855709523,0.955556602111335
