id,cluster_k,cluster
6,2,K2_C1
10,2,K2_C2
11,2,K2_C1
12,2,K2_C1
13,2,K2_C1
14,2,K2_C1
15,2,K2_C1
16,2,K2_C1
17,2,K2_C1
19,2,K2_C2
20,2,K2_C2
21,2,K2_C1
22,2,K2_C1
28,2,K2_C1
32,2,K2_C1
34,2,K2_C1
41,2,K2_C2
42,2,K2_C1
47,2,K2_C2
49,2,K2_C2
50,2,K2_C1
54,2,K2_C1
55,2,K2_C2
56,2,K2_C2
57,2,K2_C1
58,2,K2_C1
60,2,K2_C1
62,2,K2_C2
63,2,K2_C1
69,2,K2_C1
70,2,K2_C1
71,2,K2_C2
72,2,K2_C1
73,2,K2_C2
75,2,K2_C1
77,2,K2_C2
80,2,K2_C2
81,2,K2_C1
82,2,K2_C2
83,2,K2_C2
84,2,K2_C2
85,2,K2_C1
86,2,K2_C2
87,2,K2_C1
88,2,K2_C1
89,2,K2_C2
91,2,K2_C2
92,2,K2_C1
93,2,K2_C1
94,2,K2_C1
95,2,K2_C1
96,2,K2_C1
99,2,K2_C1
100,2,K2_C2
102,2,K2_C2
103,2,K2_C2
104,2,K2_C1
105,2,K2_C1
106,2,K2_C1
107,2,K2_C2
108,2,K2_C1
109,2,K2_C1
110,2,K2_C1
111,2,K2_C1
114,2,K2_C2
115,2,K2_C1
116,2,K2_C1
119,2,K2_C2
120,2,K2_C2
121,2,K2_C1
125,2,K2_C1
126,2,K2_C1
131,2,K2_C1
132,2,K2_C1
133,2,K2_C1
134,2,K2_C1
135,2,K2_C2
137,2,K2_C1
141,2,K2_C1
142,2,K2_C1
143,2,K2_C1
145,2,K2_C1
146,2,K2_C2
155,2,K2_C1
156,2,K2_C1
158,2,K2_C1
159,2,K2_C1
160,2,K2_C1
161,2,K2_C1
162,2,K2_C1
163,2,K2_C1
165,2,K2_C1
166,2,K2_C1
167,2,K2_C1
170,2,K2_C1
173,2,K2_C1
174,2,K2_C1
175,2,K2_C1
176,2,K2_C1
177,2,K2_C2
178,2,K2_C2
179,2,K2_C2
180,2,K2_C2
181,2,K2_C2
182,2,K2_C2
184,2,K2_C2
185,2,K2_C1
186,2,K2_C1
187,2,K2_C2
188,2,K2_C2
189,2,K2_C2
190,2,K2_C2
191,2,K2_C2
194,2,K2_C2
195,2,K2_C2
196,2,K2_C1
197,2,K2_C2
198,2,K2_C1
200,2,K2_C1
201,2,K2_C2
202,2,K2_C2
205,2,K2_C1
206,2,K2_C1
207,2,K2_C2
208,2,K2_C2
210,2,K2_C2
213,2,K2_C1
214,2,K2_C1
216,2,K2_C1
217,2,K2_C1
218,2,K2_C1
220,2,K2_C2
221,2,K2_C2
222,2,K2_C2
223,2,K2_C1
226,2,K2_C1
229,2,K2_C2
230,2,K2_C2
231,2,K2_C1
232,2,K2_C1
233,2,K2_C1
234,2,K2_C2
236,2,K2_C1
239,2,K2_C2
240,2,K2_C1
241,2,K2_C2
242,2,K2_C1
243,2,K2_C1
244,2,K2_C1
245,2,K2_C2
246,2,K2_C1
247,2,K2_C2
248,2,K2_C2
249,2,K2_C2
251,2,K2_C1
253,2,K2_C1
255,2,K2_C1
