id,cluster
6,C1
10,C2
11,C1
12,C1
13,C1
14,C1
15,C1
16,C1
17,C1
19,C2
20,C2
21,C1
22,C1
28,C1
32,C1
34,C1
41,C2
42,C1
47,C2
49,C2
50,C1
54,C1
55,C2
56,C2
57,C1
58,C1
60,C1
62,C2
63,C1
69,C1
70,C1
71,C2
72,C1
73,C2
75,C1
77,C2
80,C2
81,C1
82,C2
83,C2
84,C2
85,C1
86,C2
87,C1
88,C1
89,C2
91,C2
92,C1
93,C1
94,C1
95,C1
96,C1
99,C1
100,C2
102,C2
103,C2
104,C1
105,C1
106,C1
107,C2
108,C1
109,C1
110,C1
111,C1
114,C2
115,C1
116,C1
119,C2
120,C2
121,C1
125,C1
126,C1
131,C1
132,C1
133,C1
134,C1
135,C2
137,C1
141,C1
142,C1
143,C1
145,C1
146,C2
155,C1
156,C1
158,C1
159,C1
160,C1
161,C1
162,C1
163,C1
165,C1
166,C1
167,C1
170,C1
173,C1
174,C1
175,C1
176,C1
177,C2
178,C2
179,C2
180,C2
181,C2
182,C2
184,C2
185,C1
186,C1
187,C2
188,C2
189,C2
190,C2
191,C2
194,C2
195,C2
196,C1
197,C2
198,C1
200,C1
201,C2
202,C2
205,C1
206,C1
207,C2
208,C2
210,C2
213,C1
214,C1
216,C1
217,C1
218,C1
220,C2
221,C2
222,C2
223,C1
226,C1
229,C2
230,C2
231,C1
232,C1
233,C1
234,C2
236,C1
239,C2
240,C1
241,C2
242,C1
243,C1
244,C1
245,C2
246,C1
247,C2
248,C2
249,C2
251,C1
253,C1
255,C1
256,C2
257,C2
259,C2
260,C2
261,C1
262,C2
263,C1
264,C1
265,C2
266,C2
267,C1
268,C1
269,C2
272,C1
273,C1
274,C1
275,C1
279,C2
280,C2
282,C1
284,C1
287,C1
288,C2
289,C2
293,C2
294,C1
295,C1
298,C2
299,C2
301,C2
305,C1
306,C2
308,C1
310,C1
317,C2
318,C2
323,C1
324,C1
325,C1
326,C1
327,C2
328,C2
330,C2
