item,domain,planned_factor,keep_ESEM,notes,keep_EFA,reason
dQ1S,DASS,Str,NA,NA,NA,NA
dQ2A,DASS,Anx,NA,NA,NA,NA
dQ3D,DASS,Dep,NA,NA,NA,NA
dQ4A,DASS,Anx,NA,NA,NA,NA
dQ5D,DASS,Dep,NA,NA,NA,NA
dQ6S,DASS,Str,NA,NA,NA,NA
dQ7A,DASS,Anx,NA,NA,NA,NA
dQ8S,DASS,Str,NA,NA,NA,NA
dQ9A,DASS,Anx,NA,NA,NA,NA
dQ10D,DASS,Dep,NA,NA,NA,NA
dQ11S,DASS,Str,NA,NA,NA,NA
dQ12S,DASS,Str,NA,NA,NA,NA
dQ13D,DASS,Dep,NA,NA,NA,NA
dQ14S,DASS,Str,NA,NA,NA,NA
dQ15A,DASS,Anx,NA,NA,NA,NA
dQ16D,DASS,Dep,NA,NA,NA,NA
dQ17D,DASS,Dep,NA,NA,NA,NA
dQ18S,DASS,Str,NA,NA,NA,NA
dQ19A,DASS,Anx,NA,NA,NA,NA
dQ20A,DASS,Anx,NA,NA,NA,NA
dQ21D,DASS,Dep,NA,NA,NA,NA
rQ1,BRS,BRS,NA,NA,TRUE,pass/borderline by loading
rQ3,BRS,BRS,NA,NA,TRUE,pass/borderline by loading
rQ5,BRS,BRS,NA,NA,FALSE,drop: low primary
rQ2_r,BRS,BRS,NA,NA,FALSE,drop: low primary
rQ4_r,BRS,BRS,NA,NA,TRUE,pass/borderline by loading
rQ6_r,BRS,BRS,NA,NA,TRUE,pass/borderline by loading
