i,j,w,idx_i,idx_j
dQ17D,dQ21D,0.26490156303015405,17,21
rQ4_r,rQ6_r,0.24903899237131494,26,27
rQ1,rQ3,0.24543596528778155,22,23
rQ2_r,rQ4_r,0.16179815681775794,25,26
dQ10D,dQ21D,0.16120654403689375,10,21
dQ10D,dQ16D,0.15902685011884518,10,16
dQ7A,dQ8S,0.15541493329873557,7,8
dQ13D,dQ18S,0.14933805428568378,13,18
dQ9A,dQ15A,0.14560272160378213,9,15
dQ20A,dQ21D,0.14043118035978686,20,21
dQ10D,dQ11S,0.13421893247587424,10,11
rQ3,rQ5,0.13190191832295894,23,24
dQ6S,dQ18S,0.12322821748110227,6,18
dQ18S,dQ20A,0.12102481238126377,18,20
dQ19A,dQ20A,0.12054292997663929,19,20
dQ10D,dQ17D,0.11993408579000454,10,17
rQ2_r,rQ6_r,0.1186230879313742,25,27
dQ15A,dQ19A,0.11823719478316122,15,19
dQ8S,dQ15A,0.11578870923663796,8,15
dQ16D,dQ17D,0.11286676383524484,16,17
dQ4A,dQ19A,0.11004244253195256,4,19
dQ15A,dQ20A,0.10997496643405523,15,20
rQ1,rQ5,0.1092652833567994,22,24
rQ3,rQ6_r,0.10831267889833493,23,27
dQ13D,dQ15A,0.10704186550877318,13,15
dQ2A,dQ14S,0.10677832677955638,2,14
dQ11S,dQ13D,0.1023648386991501,11,13
dQ6S,dQ13D,0.1022122614245442,6,13
dQ4A,dQ12S,0.09740386101182048,4,12
dQ1S,dQ12S,0.09669843692091362,1,12
dQ3D,dQ10D,0.09394367993361456,3,10
dQ11S,dQ15A,0.09372662820444373,11,15
dQ13D,dQ16D,0.09012048853108605,13,16
dQ12S,dQ13D,0.08918343316453356,12,13
dQ8S,dQ18S,0.08917791362524165,8,18
dQ3D,dQ17D,0.08829055487768588,3,17
dQ5D,dQ8S,0.0873566784892304,5,8
dQ9A,dQ10D,0.08679297367103714,9,10
dQ8S,dQ9A,0.08625627179317999,8,9
dQ7A,dQ9A,0.08550933813716399,7,9
dQ11S,dQ12S,0.08523218180318072,11,12
dQ5D,dQ19A,0.08108244672684463,5,19
dQ8S,dQ14S,0.08028015600049097,8,14
dQ3D,dQ21D,0.08007772311641606,3,21
dQ6S,dQ7A,0.07638676957152386,6,7
dQ3D,dQ5D,0.07395019065892679,3,5
dQ2A,dQ5D,0.0735476742845353,2,5
dQ2A,dQ7A,0.07263200394656195,2,7
dQ6S,dQ11S,0.07232910363165126,6,11
dQ1S,dQ8S,0.07168306668616951,1,8
