item,a,b1,b2,b3,thr_ordered,a_ok,note
dQ2A,0.5575769713500072,-1.450071944361855,0.3897908553763692,1.7383261974054576,TRUE,FALSE,a_ok=FALSE; thr_ord=TRUE
dQ3D,0.9690569629160529,-0.40497879350094185,0.8249881889646972,2.0922734243706778,TRUE,FALSE,a_ok=FALSE; thr_ord=TRUE
dQ4A,0.8864924432849571,0.005420671523750747,1.2618411361235389,2.240810409877528,TRUE,FALSE,a_ok=FALSE; thr_ord=TRUE
dQ5D,0.9228387610569053,-1.583581492482752,0.05579346879114183,1.3443038480193525,TRUE,FALSE,a_ok=FALSE; thr_ord=TRUE
dQ6S,1.1032473866005066,-0.9466082062468641,0.45714244430252354,1.5453595393387964,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ7A,1.0242109988851449,-0.5037183656307238,0.650419008887436,1.6600609291858235,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ8S,1.3061501193524925,-1.400278711869286,-0.06372439337963588,0.9821418026637339,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ10D,1.344621566288223,-0.42967674367669745,0.5640040969921137,1.4452356956102859,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ13D,1.6202703072783309,-1.050179410513759,0.11304230902711598,0.9750217512387617,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ14S,0.7883932603100742,-1.8469415620632663,0.0951627858378337,1.5082698623713569,TRUE,FALSE,a_ok=FALSE; thr_ord=TRUE
dQ16D,1.1636620264478934,-0.5439090843750201,0.7435665598163813,1.7649138863399152,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ17D,1.1312011962993958,-0.3458888640348436,0.6009854083355706,1.5412242034575372,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ18S,1.0656495853346455,-1.1508456352937904,0.03654089053130522,0.9678977522951376,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ19A,1.0457222051166222,-0.6758063989985861,0.4596115313036481,1.530612344999202,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ20A,1.2751243780353798,-0.28039388377019614,0.8842535007931344,1.8049083512247732,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ21D,1.247502596794083,0.18885412075857183,0.9017255511465413,1.6767939898222517,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ1S,0.6060633283081128,-1.395017370439752,0.850009691273792,2.4901624246410545,TRUE,FALSE,a_ok=FALSE; thr_ord=TRUE
dQ9A,1.362263389239067,-1.3742181423734834,-0.1168843950962293,0.9502774174338103,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ11S,1.4660249294431886,-1.0304296057195181,0.12784725836454955,1.115938342316195,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ12S,1.0732654723204225,-0.5442638234271402,0.7421052586021831,1.9954288420049024,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
dQ15A,1.6115844273429976,-0.5267834993111457,0.410977876559685,1.3461606953457177,TRUE,TRUE,a_ok=TRUE; thr_ord=TRUE
