item,S_X2,df.S_X2,RMSEA.S_X2,p.S_X2
dQ2A,119.79240870592794,126,0,0.6388803414166982
dQ3D,107.68843556763593,115,0,0.6731074259121632
dQ4A,109.6519554707843,113,0,0.5716089474388074
dQ5D,106.99370925018376,113,0,0.6414267851013911
dQ6S,115.81961888109798,112,0.007145173406481313,0.38330894918918773
dQ7A,103.45055573054304,112,0,0.7059529969680147
dQ8S,74.54591132309257,96,0,0.9487035924133399
dQ10D,133.54903877548853,103,0.02107132915554643,0.023091845183498952
dQ13D,99.16972456261274,90,0.012350048393410177,0.23858663962971413
dQ14S,151.80196207657445,120,0.019918108942103958,0.026350405776096125
dQ16D,127.0339960664115,106,0.017235335047044213,0.08017508243217182
dQ17D,120.43320848804049,108,0.013127786320451511,0.19475943110875055
dQ18S,106.7842870088996,110,0,0.5690186682582471
dQ19A,108.48980291126661,113,0,0.6024088717023433
dQ20A,102.64437558677207,101,0.0049368688717659785,0.4356760235733007
dQ21D,104.0356682814463,106,0,0.535806691024969
dQ1S,114.65914660741359,124,0,0.7143398155879226
dQ9A,127.8035552516946,95,0.022735809603322703,0.013985709583917176
dQ11S,101.40649390420087,95,0.010047549969403468,0.30753676581767553
dQ12S,115.9157410031676,108,0.010474798540177375,0.2839709092695436
dQ15A,83.46530716698156,92,0,0.7258151446849828
