item,domain,a,thr_ordered,X2,p,infit,z.infit,max_absQ3,mean_info_band,peak_info,issue_count,ProposedAction,Reason
dQ2A,Anx,0.5575769713500072,TRUE,NA,NA,NA,NA,0.16889643320277445,NA,0.09647382327687971,1,KEEP,ok_or_borderline
dQ3D,Dep,0.9690569629160529,TRUE,NA,NA,NA,NA,0.1404423776840901,NA,0.2930509828959996,1,KEEP,ok_or_borderline
dQ4A,Anx,0.8864924432849571,TRUE,NA,NA,NA,NA,0.14786801172508446,NA,0.24489620382095056,1,KEEP,ok_or_borderline
dQ5D,Dep,0.9228387610569053,TRUE,NA,NA,NA,NA,0.18977162052108681,NA,0.263959703415122,1,KEEP,ok_or_borderline
dQ6S,Str,1.1032473866005066,TRUE,NA,NA,NA,NA,0.15516314576618545,NA,0.3767674242413643,0,KEEP,ok_or_borderline
dQ7A,Anx,1.0242109988851449,TRUE,NA,NA,NA,NA,0.19210731059078479,NA,0.32764871604992385,0,KEEP,ok_or_borderline
dQ8S,Str,1.3061501193524925,TRUE,NA,NA,NA,NA,0.2132501810437102,NA,0.5230634550092459,0,KEEP,ok_or_borderline
dQ10D,Dep,1.344621566288223,TRUE,NA,NA,NA,NA,0.24109708213200703,NA,0.5630953252669834,0,KEEP,ok_or_borderline
dQ13D,Dep,1.6202703072783309,TRUE,NA,NA,NA,NA,0.13395974716687079,NA,0.8007819414006468,0,KEEP,ok_or_borderline
dQ14S,Str,0.7883932603100742,TRUE,NA,NA,NA,NA,0.1685663832916736,NA,0.1926170252544963,1,KEEP,ok_or_borderline
dQ16D,Dep,1.1636620264478934,TRUE,NA,NA,NA,NA,0.1250730942425517,NA,0.4198642223642721,0,KEEP,ok_or_borderline
dQ17D,Dep,1.1312011962993958,TRUE,NA,NA,NA,NA,0.2896857860198295,NA,0.3998348463075139,1,KEEP,ok_or_borderline
dQ18S,Str,1.0656495853346455,TRUE,NA,NA,NA,NA,0.24109708213200703,NA,0.35422146462644477,0,KEEP,ok_or_borderline
dQ19A,Anx,1.0457222051166222,TRUE,NA,NA,NA,NA,0.18044305416823003,NA,0.34154194709155994,0,KEEP,ok_or_borderline
dQ20A,Anx,1.2751243780353798,TRUE,NA,NA,NA,NA,0.148107543655103,NA,0.5044758214359983,0,KEEP,ok_or_borderline
dQ21D,Dep,1.247502596794083,TRUE,NA,NA,NA,NA,0.2896857860198295,NA,0.4844960141422438,1,KEEP,ok_or_borderline
dQ1S,Str,0.6060633283081128,TRUE,NA,NA,NA,NA,0.11964747374496278,NA,0.11436436364110726,1,KEEP,ok_or_borderline
dQ9A,Anx,1.362263389239067,TRUE,NA,NA,NA,NA,0.12555327346780276,NA,0.5681791648677921,0,KEEP,ok_or_borderline
dQ11S,Str,1.4660249294431886,TRUE,NA,NA,NA,NA,0.1321210829935485,NA,0.6584263361399856,0,KEEP,ok_or_borderline
dQ12S,Str,1.0732654723204225,TRUE,NA,NA,NA,NA,0.13807297759123757,NA,0.3574693621533276,0,KEEP,ok_or_borderline
dQ15A,Anx,1.6115844273429976,TRUE,NA,NA,NA,NA,0.18977162052108681,NA,0.7992731565862895,0,KEEP,ok_or_borderline
