item_i,item_j,Q3
dQ17D,dQ21D,0.2896857860198295
dQ21D,dQ17D,0.2896857860198295
dQ10D,dQ18S,-0.24109708213200703
dQ18S,dQ10D,-0.24109708213200703
dQ8S,dQ21D,-0.2132501810437102
dQ21D,dQ8S,-0.2132501810437102
dQ7A,dQ21D,-0.19210731059078479
dQ21D,dQ7A,-0.19210731059078479
dQ5D,dQ15A,-0.18977162052108681
dQ15A,dQ5D,-0.18977162052108681
dQ8S,dQ10D,-0.1882879156365832
dQ10D,dQ8S,-0.1882879156365832
dQ10D,dQ19A,-0.18044305416823003
dQ19A,dQ10D,-0.18044305416823003
dQ8S,dQ17D,-0.17736266822519683
dQ17D,dQ8S,-0.17736266822519683
dQ2A,dQ21D,-0.16889643320277445
dQ21D,dQ2A,-0.16889643320277445
dQ14S,dQ17D,-0.1685663832916736
dQ17D,dQ14S,-0.1685663832916736
dQ10D,dQ21D,0.16270884011215206
dQ21D,dQ10D,0.16270884011215206
dQ7A,dQ17D,-0.16164054714161502
dQ17D,dQ7A,-0.16164054714161502
dQ2A,dQ17D,-0.15536495934976494
dQ17D,dQ2A,-0.15536495934976494
dQ6S,dQ21D,-0.15516314576618545
dQ21D,dQ6S,-0.15516314576618545
dQ17D,dQ15A,-0.15397224042198665
dQ15A,dQ17D,-0.15397224042198665
dQ5D,dQ20A,-0.148107543655103
dQ20A,dQ5D,-0.148107543655103
dQ4A,dQ17D,-0.14786801172508446
dQ17D,dQ4A,-0.14786801172508446
dQ17D,dQ19A,-0.14468649584906007
dQ19A,dQ17D,-0.14468649584906007
dQ2A,dQ14S,0.14303015841557476
dQ14S,dQ2A,0.14303015841557476
dQ5D,dQ21D,-0.1429769366714717
dQ21D,dQ5D,-0.1429769366714717
dQ10D,dQ17D,0.14118619884654912
dQ17D,dQ10D,0.14118619884654912
dQ3D,dQ15A,-0.1404423776840901
dQ15A,dQ3D,-0.1404423776840901
dQ10D,dQ15A,-0.1402789233066089
dQ15A,dQ10D,-0.1402789233066089
dQ6S,dQ10D,-0.1388919882367775
dQ10D,dQ6S,-0.1388919882367775
dQ14S,dQ12S,-0.13807297759123757
dQ12S,dQ14S,-0.13807297759123757
dQ13D,dQ20A,-0.13395974716687079
dQ20A,dQ13D,-0.13395974716687079
dQ6S,dQ17D,-0.13268432542577235
dQ17D,dQ6S,-0.13268432542577235
dQ7A,dQ11S,-0.1321210829935485
dQ11S,dQ7A,-0.1321210829935485
dQ7A,dQ8S,0.12576332990744668
dQ8S,dQ7A,0.12576332990744668
dQ4A,dQ13D,-0.12568795284807024
dQ13D,dQ4A,-0.12568795284807024
dQ13D,dQ9A,-0.12555327346780276
dQ9A,dQ13D,-0.12555327346780276
dQ16D,dQ18S,-0.1250730942425517
dQ18S,dQ16D,-0.1250730942425517
dQ6S,dQ16D,-0.1243996689375176
dQ16D,dQ6S,-0.1243996689375176
dQ3D,dQ20A,-0.12330744333857602
dQ20A,dQ3D,-0.12330744333857602
dQ4A,dQ9A,-0.12245502961005086
dQ9A,dQ4A,-0.12245502961005086
dQ8S,dQ11S,-0.1208788080343778
dQ11S,dQ8S,-0.1208788080343778
dQ7A,dQ10D,-0.12026258393314873
dQ10D,dQ7A,-0.12026258393314873
dQ21D,dQ1S,-0.11964747374496278
dQ1S,dQ21D,-0.11964747374496278
dQ3D,dQ8S,-0.117977061317015
dQ8S,dQ3D,-0.117977061317015
dQ8S,dQ16D,-0.1153279157893334
dQ16D,dQ8S,-0.1153279157893334
dQ18S,dQ21D,-0.11472136222755348
dQ21D,dQ18S,-0.11472136222755348
dQ7A,dQ12S,-0.11448663772535905
dQ12S,dQ7A,-0.11448663772535905
dQ4A,dQ14S,-0.11391226691391458
dQ14S,dQ4A,-0.11391226691391458
dQ5D,dQ10D,-0.11239840130144904
dQ10D,dQ5D,-0.11239840130144904
dQ20A,dQ11S,-0.1119526908404688
dQ11S,dQ20A,-0.1119526908404688
dQ21D,dQ9A,-0.11187961501981201
dQ9A,dQ21D,-0.11187961501981201
dQ16D,dQ20A,-0.11048591386806311
dQ20A,dQ16D,-0.11048591386806311
dQ16D,dQ19A,-0.11033397516742276
dQ19A,dQ16D,-0.11033397516742276
dQ16D,dQ15A,-0.10942177691157783
dQ15A,dQ16D,-0.10942177691157783
dQ14S,dQ20A,-0.10894303961877579
dQ20A,dQ14S,-0.10894303961877579
