obs_cat,irt_cat,Freq
Normal,Normal,14
Mild,Normal,2
Moderate,Normal,5
Severe,Normal,1
Extremely Severe,Normal,0
Normal,Mild,2
Mild,Mild,3
Moderate,Mild,2
Severe,Mild,1
Extremely Severe,Mild,1
Normal,Moderate,3
Mild,Moderate,3
Moderate,Moderate,20
Severe,Moderate,9
Extremely Severe,Moderate,12
Normal,Severe,0
Mild,Severe,0
Moderate,Severe,6
Severe,Severe,15
Extremely Severe,Severe,20
Normal,Extremely Severe,0
Mild,Extremely Severe,0
Moderate,Extremely Severe,2
Severe,Extremely Severe,17
Extremely Severe,Extremely Severe,531
