p,q_theta,q_dass21
0.01,-2.215140705112853,6
0.02,-1.8512920057534656,8
0.03,-1.662095375902572,10
0.04,-1.5736994723617956,14
0.05,-1.4949671640597098,14
0.060000000000000005,-1.424769012209915,16
0.06999999999999999,-1.3272322149901083,18
0.08,-1.2698144765811648,18
0.09,-1.21480383868884,20
0.09999999999999999,-1.1600072357223812,20
0.11,-1.122354597374831,22
0.12,-1.046104799134989,22
0.13,-1.0223855012418634,24
0.14,-0.9549657942916596,24
0.15000000000000002,-0.9278764688172546,26
0.16,-0.8990385373056566,26
0.17,-0.8734519357215804,26
0.18000000000000002,-0.837320396758706,28
0.19,-0.8009460479179932,30
0.2,-0.7625546083760774,30
0.21000000000000002,-0.7424810424082505,30
0.22,-0.7122912796004766,32
0.23,-0.6831597802734006,32
0.24000000000000002,-0.6511311964269095,32
0.25,-0.6182263827552434,34
0.26,-0.5871328357849068,34
0.27,-0.559194061052535,36
0.28,-0.536240155347827,36
0.29000000000000004,-0.5147461963566382,36
0.3,-0.4699986963709621,38
0.31,-0.45527317874613765,38
0.32,-0.4323082714297249,40
0.33,-0.4103131324532215,40
0.34,-0.3878919380222894,40
0.35000000000000003,-0.3653903064902465,40
0.36000000000000004,-0.3355676792706235,42
0.37,-0.306859447126338,42
0.38,-0.2966906204432364,42
0.39,-0.27838105847775413,44
0.4,-0.25839251469163976,44
0.41000000000000003,-0.23470195918715064,44
0.42000000000000004,-0.1975621212771256,46
0.43,-0.1834382718042477,46
0.44,-0.15974892409660074,46
0.45,-0.14163062324933615,48
0.46,-0.11432797742404384,48
0.47000000000000003,-0.08839362293116314,48
0.48000000000000004,-0.06993687969014843,50
0.49,-0.04869540985389706,50
0.5,-0.03276020450932044,52
0.51,-0.00837987770885782,52
0.52,0.01876291517284173,52
0.53,0.05086621908615595,54
0.54,0.07014858157956161,54
0.55,0.08114357913286187,55.000000000000114
0.56,0.10840379704961757,56
0.5700000000000001,0.1336410707594468,56
0.5800000000000001,0.14899717314184596,56
0.59,0.1798109650816585,58
0.6,0.21731246041735489,58
0.61,0.2294900994897952,58
0.62,0.24970747370298216,60
0.63,0.2773337351808123,60
0.64,0.3065204059414494,60
0.65,0.33618685137275217,62
0.66,0.3697244159498955,62
0.67,0.39383862364211764,62
0.68,0.4262814452096484,64
0.6900000000000001,0.4494621628900571,64
0.7000000000000001,0.47865167398395214,64
0.7100000000000001,0.49289883257600353,66
0.72,0.5182295128735603,66
0.73,0.5401126621774472,68
0.74,0.5752711146544515,68
0.75,0.60093830237034,68
0.76,0.6176037318807737,70
0.77,0.6467445336000405,70
0.78,0.6800022454983462,72
0.79,0.7232133500743887,72
0.8,0.7622214644244524,74
0.81,0.7902637351594124,74
0.8200000000000001,0.8178195249628186,76
0.8300000000000001,0.8540699631346562,76
0.8400000000000001,0.8939679730508142,78
0.85,0.947723580434953,80
0.86,0.979947250582572,80
0.87,1.0124477102194427,82
0.88,1.0562387043653776,84
0.89,1.1450675934007124,84
0.9,1.206962353202338,86
0.91,1.2398506307032484,88
0.92,1.2781339209533478,90
0.93,1.3455974773715758,92
0.9400000000000001,1.443348825904648,94
0.9500000000000001,1.530782818092105,95
0.9600000000000001,1.6759560087764844,96.00000000000023
0.97,1.826404790193242,100
0.98,1.9838766357350412,102
0.99,2.3824959431575783,109
