rowname,dQ7A,dQ10D,dQ13D,dQ14S,dQ16D,dQ17D,dQ18S,dQ19A,dQ20A,dQ21D,dQ1S,dQ9A,dQ11S,dQ12S,dQ15A
dQ7A,1,-0.103548564593147,-0.034938962852705834,0.1111389378230217,-0.02244265432756574,-0.1638192108680338,0.09410768174381191,0.05789685609869011,-0.04831524513349852,-0.20220860244692743,-0.003723056392946508,0.05867152965545584,-0.092517004025117755,-0.08545348942060649,0.03827886232898633
dQ10D,-0.103548564593147,1,-0.126300373481242,-0.06153544215494841,0.060526319367873,0.06630567889309714,-0.24843687234497663,-0.1857237877009372,-0.1280638314105223,0.08014858001821885,-0.0653142902204436,-0.07331030713698326,-0.02829726201391231,-0.04387084360208078,-0.19746115283296248
dQ13D,-0.034938962852705834,-0.126300373481242,1,0.01680047346374032,-0.06514267244265202,-0.11273067509378112,0.08906935869621813,-0.07797073681057932,-0.16497513708624245,-0.1036685571144358,-0.05279425247243297,-0.13052293640486803,-0.0777408783368485,-0.028172693365026334,-0.09131281206939415
dQ14S,0.1111389378230217,-0.06153544215494841,0.01680047346374032,1,-0.023119567620056257,-0.18007255523061813,0.09711539435702687,-0.0073510396804099595,-0.10045355274148116,-0.12208197633180749,0.05626319464437082,-0.014509078485629717,-1.2707541605013366e-5,-0.11936448465434242,-0.02117396852418005
dQ16D,-0.02244265432756574,0.060526319367873,-0.06514267244265202,-0.023119567620056257,1,0.03700834751988023,-0.11928540072562077,-0.10603993081961889,-0.1540576642534376,-0.01756311123387181,-0.06570431115776436,-0.10290255727168363,-0.1101189931266952,-0.07525363638016533,-0.1456267097652248
dQ17D,-0.1638192108680338,0.06630567889309714,-0.11273067509378112,-0.18007255523061813,0.03700834751988023,1,-0.08305757970052635,-0.16377917469525247,-0.072264463609446,0.2144197169114981,-0.08894131216761747,-0.09450046599480603,-0.12498162230993408,-0.0422844328215464,-0.23112362982390636
dQ18S,0.09410768174381191,-0.24843687234497663,0.08906935869621813,0.09711539435702687,-0.11928540072562077,-0.08305757970052635,1,0.05329441928039361,0.06246834744695937,-0.1448456418547896,0.02574014529803861,-0.04618918199217909,-0.06745643092797639,-0.0679113644270816,-0.043734243304245024
dQ19A,0.05789685609869011,-0.1857237877009372,-0.07797073681057932,-0.0073510396804099595,-0.10603993081961889,-0.16377917469525247,0.05329441928039361,1,0.06901423852338716,-0.11352914273127458,0.019736967539074737,-0.050436482105462734,-0.057700028342301445,-0.02801012226311632,0.05581056493344422
dQ20A,-0.04831524513349852,-0.1280638314105223,-0.16497513708624245,-0.10045355274148116,-0.1540576642534376,-0.072264463609446,0.06246834744695937,0.06901423852338716,1,0.006896469391698334,-0.017888091781739654,-0.062010885267844415,-0.14338338712030038,-0.03598220294491126,-0.03202748002618302
dQ21D,-0.20220860244692743,0.08014858001821885,-0.1036685571144358,-0.12208197633180749,-0.01756311123387181,0.2144197169114981,-0.1448456418547896,-0.11352914273127458,0.006896469391698334,1,-0.1394982149359561,-0.18110423208006038,-0.08525768385669054,-0.09794673875293791,-0.13908442907923377
dQ1S,-0.003723056392946508,-0.0653142902204436,-0.05279425247243297,0.05626319464437082,-0.06570431115776436,-0.08894131216761747,0.02574014529803861,0.019736967539074737,-0.017888091781739654,-0.1394982149359561,1,-0.006817518835347793,-0.03509512036660758,0.07744801685534006,-0.03672107448187981
dQ9A,0.05867152965545584,-0.07331030713698326,-0.13052293640486803,-0.014509078485629717,-0.10290255727168363,-0.09450046599480603,-0.04618918199217909,-0.050436482105462734,-0.062010885267844415,-0.18110423208006038,-0.006817518835347793,1,-0.10036620736629519,-0.03968791310896373,0.011407812318007174
dQ11S,-0.092517004025117755,-0.02829726201391231,-0.0777408783368485,-1.2707541605013366e-5,-0.1101189931266952,-0.12498162230993408,-0.06745643092797639,-0.057700028342301445,-0.14338338712030038,-0.08525768385669054,-0.03509512036660758,-0.10036620736629519,1,-0.017459649493410962,-0.09470379005573201
dQ12S,-0.08545348942060649,-0.04387084360208078,-0.028172693365026334,-0.11936448465434242,-0.07525363638016533,-0.0422844328215464,-0.0679113644270816,-0.02801012226311632,-0.03598220294491126,-0.09794673875293791,0.07744801685534006,-0.03968791310896373,-0.017459649493410962,1,-0.11562936065493616
dQ15A,0.03827886232898633,-0.19746115283296248,-0.09131281206939415,-0.02117396852418005,-0.1456267097652248,-0.23112362982390636,-0.043734243304245024,0.05581056493344422,-0.03202748002618302,-0.13908442907923377,-0.03672107448187981,0.011407812318007174,-0.09470379005573201,-0.11562936065493616,1
