"group","lhs","est.std","se","pvalue"
1,"Dep",-0.465150889211479,0.0654945394362495,1.2285727990502e-12
1,"Anx",-0.485276129689256,0.0635533108486247,2.24265050974282e-14
1,"Str",-0.481710149223117,0.0691328923226686,3.2174263253637e-12
2,"Dep",-0.50890744229308,0.0924387488285793,3.68440609133103e-08
2,"Anx",-0.518966929966281,0.0969889787273788,8.75747263595628e-08
2,"Str",-0.591113660847871,0.0784185573514546,4.77395900588817e-14
3,"Dep",-0.637938421643949,0.0680596098944767,0
3,"Anx",-0.47997510437014,0.0775659698126626,6.09478689739262e-10
3,"Str",-0.674040878068194,0.101563657947052,3.20925508390246e-11
4,"Dep",-0.612914362763915,0.0694039165203271,0
4,"Anx",-0.622492832906946,0.0605802027855968,0
4,"Str",-0.546806440186569,0.0794136773485585,5.75672842728636e-12
