"lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"Dep","~1","",1,1,"",0,0,NA,NA,0,0,0,0
"Anx","~1","",1,1,"",0,0,NA,NA,0,0,0,0
"Str","~1","",1,1,"",0,0,NA,NA,0,0,0,0
"Dep","~1","",2,2,"",-0.0793177747380209,0.182094160176342,-0.435586592459686,0.663136700218667,-0.436215770478718,0.277580221002676,-0.0539242326716334,-0.0539242326716334
"Anx","~1","",2,2,"",0.132144968908403,0.1880418721853,0.702742252949839,0.48221639069252,-0.236410328160268,0.500700265977075,0.0912361831485048,0.0912361831485048
"Str","~1","",2,2,"",0.226307554275689,0.193626281251526,1.16878531577905,0.24249013806915,-0.153192983437726,0.605808091989103,0.145942918709629,0.145942918709629
"Dep","~1","",3,3,"",-0.250679358393981,0.148180230013973,-1.69171932295113,0.090699502370599,-0.541107272442229,0.0397485556542664,-0.164980830109825,-0.164980830109825
"Anx","~1","",3,3,"",0.294959118573089,0.13770716504375,2.14193007661859,0.0321991091734952,0.0250580346742251,0.564860202471952,0.224002546456784,0.224002546456784
"Str","~1","",3,3,"",0.0642369378741264,0.119346983708446,0.538236793910531,0.590413581266184,-0.169678851857916,0.298152727606169,0.0741106441291323,0.0741106441291323
"Dep","~1","",4,4,"",0.0713301940998306,0.132826042461722,0.537019644475117,0.591254044684235,-0.189004065334132,0.331664453533793,0.061373391461124,0.061373391461124
"Anx","~1","",4,4,"",0.444511971621798,0.141930042723742,3.13190895381476,0.00173673723877554,0.166334199559033,0.722689743684562,0.367348504330847,0.367348504330847
"Str","~1","",4,4,"",0.207143084268662,0.124955342646287,1.65773691529961,0.0973705793213884,-0.0377648869939231,0.452051055531248,0.206732660857551,0.206732660857551
