"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"BRS","=~","rQ1",0.47093389392083,0.0328644001560619,14.3296056427175,0,0.406520853241436,0.535346934600224
"BRS","=~","rQ3",0.580763567125837,0.0305296003103192,19.0229666036452,0,0.520926650055209,0.640600484196465
"BRS","=~","rQ5",0.349528304496248,0.0339934450899828,10.2822265754773,0,0.282902376409442,0.416154232583054
"BRS","=~","rQ2_r",0.4407132943385,0.0317367955301557,13.8865089236796,0,0.378510318114683,0.502916270562317
"BRS","=~","rQ4_r",0.61300645382009,0.0295925801080638,20.714870132363,0,0.555006062598669,0.671006845041512
"BRS","=~","rQ6_r",0.614087785251421,0.0299615410951354,20.4958677960369,0,0.555364243783639,0.672811326719203
"rQ1","|","t1",-1.44898061875625,0.0650548694913549,-22.2732076796927,0,-1.57648581997826,-1.32147541753424
"rQ1","|","t2",-0.716909480706867,0.0479069189038296,-14.9646334414873,0,-0.810805316368654,-0.62301364504508
"rQ1","|","t3",0.0151372222297649,0.0435838171870142,0.347312906641759,0.728356255499659,-0.0702854897655607,0.100559934225091
"rQ1","|","t4",1.03746991795148,0.0532756930330744,19.4736071721751,0,0.933051478355241,1.14188835754772
"rQ3","|","t1",-1.32253417180051,0.0606992999402049,-21.7882936558304,0,-1.44150261357011,-1.20356573003092
"rQ3","|","t2",-0.420783688738431,0.0450135195147067,-9.34794020274184,0,-0.509008565804647,-0.332558811672215
"rQ3","|","t3",0.0454255501340686,0.0435983462025381,1.0419099367449,0.297453436729285,-0.0400256382084146,0.130876738476552
"rQ3","|","t4",1.19551966435596,0.0570242318079825,20.9651165206685,0,1.08375422376625,1.30728510494567
"rQ5","|","t1",-1.69871985441508,0.0762266258594921,-22.2851245908,0,-1.84812129576269,-1.54931841306746
"rQ5","|","t2",-0.607561622212673,0.046635062489521,-13.0280006025336,0,-0.698964665108909,-0.516158579316437
"rQ5","|","t3",0.0393654395094227,0.0435942756572804,0.90299560930653,0.366528225227485,-0.046077770710958,0.124808649729804
"rQ5","|","t4",1.14742084664421,0.0557934654394654,20.5655059711094,0,1.03806766381018,1.25677402947825
"rQ2_r","|","t1",-1.17716304692063,0.0565447025489635,-20.8182728682903,0,-1.28798862743313,-1.06633746640814
"rQ2_r","|","t2",0.0727199340001615,0.0436239027978313,1.66697451021683,0.0955194734648017,-0.0127813443486639,0.158221212348987
"rQ2_r","|","t3",0.607561622212673,0.0466350624895207,13.0280006025337,0,0.516158579316437,0.698964665108908
"rQ2_r","|","t4",1.38299412710064,0.0626879239796528,22.06157166011,0,1.26012805383493,1.50586020036634
"rQ4_r","|","t1",-1.13580389320406,0.0555084726077888,-20.4618113207583,0,-1.24459850035215,-1.02700928605596
"rQ4_r","|","t2",-0.100068610921797,0.0436613887368354,-2.29192460013012,0.0219099944517036,-0.185643360360997,-0.0144938614825972
"rQ4_r","|","t3",0.358717061803967,0.0446164454012027,8.04001884458274,8.88178419700125e-16,0.271270435699412,0.446163687908522
"rQ4_r","|","t4",1.3989240864677,0.0632399106055486,22.1209055021175,0,1.27497613929529,1.5228720336401
"rQ6_r","|","t1",-1.21428822328573,0.0575273939616912,-21.1079998529804,0,-1.32703984357509,-1.10153660299636
"rQ6_r","|","t2",-0.253972364452995,0.044096635718459,-5.75944990621316,8.4388498411414e-09,-0.340400182300557,-0.167544546605432
"rQ6_r","|","t3",0.27592106310796,0.0441902607046327,6.24393381501444,4.26700674793778e-10,0.189309743659444,0.362532382556476
"rQ6_r","|","t4",1.34463244182604,0.0614070864323657,21.8970239421314,0,1.22427676402307,1.46498811962902
"rQ1","~~","rQ1",0.778221267556565,0.0309539204220125,25.1412828147979,0,0.717552698349101,0.838889836764028
"rQ3","~~","rQ3",0.662713679099273,0.0354609593099196,18.6885434572519,0,0.593211475994591,0.732215882203956
"rQ5","~~","rQ5",0.877829964355978,0.0237633428175417,36.9405083744354,0,0.831254668281318,0.924405260430639
"rQ2_r","~~","rQ2_r",0.805771792193306,0.0279736556481504,28.8046654440955,0,0.750944434607006,0.860599149779607
"rQ4_r","~~","rQ4_r",0.624223087574918,0.0362808854280162,17.2052881348064,0,0.553113858808782,0.695332316341053
"rQ6_r","~~","rQ6_r",0.622896192005005,0.0367980329951427,16.9274317485184,0,0.550773372632609,0.695019011377401
"BRS","~~","BRS",1,0,NA,NA,1,1
"rQ1","~*~","rQ1",1,0,NA,NA,1,1
"rQ3","~*~","rQ3",1,0,NA,NA,1,1
"rQ5","~*~","rQ5",1,0,NA,NA,1,1
"rQ2_r","~*~","rQ2_r",1,0,NA,NA,1,1
"rQ4_r","~*~","rQ4_r",1,0,NA,NA,1,1
"rQ6_r","~*~","rQ6_r",1,0,NA,NA,1,1
"rQ1","~1","",0,0,NA,NA,0,0
"rQ3","~1","",0,0,NA,NA,0,0
"rQ5","~1","",0,0,NA,NA,0,0
"rQ2_r","~1","",0,0,NA,NA,0,0
"rQ4_r","~1","",0,0,NA,NA,0,0
"rQ6_r","~1","",0,0,NA,NA,0,0
"BRS","~1","",0,0,NA,NA,0,0
