"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"Dep","=~","dQ3D",0.526675514598086,0.0348278871680354,15.1222355825668,0,0.458414110091112,0.59493691910506
"Dep","=~","dQ5D",0.515606175702641,0.0351817210269591,14.6555131657016,0,0.446651269575665,0.584561081829616
"Dep","=~","dQ10D",0.695732264768545,0.0271972414497761,25.580986441339,0,0.642426651048144,0.749037878488946
"Dep","=~","dQ13D",0.733919824984436,0.0254981520797367,28.7832554566839,0,0.683944365235827,0.783895284733045
"Dep","=~","dQ16D",0.60751766723079,0.0310603030690034,19.5592961820473,0,0.546640591866644,0.668394742594935
"Dep","=~","dQ17D",0.646579098525016,0.029323014389237,22.0502261446335,0,0.589107046403962,0.70405115064607
"Dep","=~","dQ21D",0.672863404393983,0.0307005246501976,21.917000183567,0,0.612691481773112,0.733035327014855
"Anx","=~","dQ2A",0.33344625550867,0.0408782043745973,8.157067087709,4.44089209850063e-16,0.253326447181792,0.413566063835549
"Anx","=~","dQ4A",0.506923060218255,0.0365038682530668,13.8868312997395,0,0.435376793145849,0.578469327290661
"Anx","=~","dQ7A",0.555153555657983,0.0329289079819082,16.8591547573638,0,0.490614081963209,0.619693029352756
"Anx","=~","dQ9A",0.666979229883062,0.0274726069772597,24.2779737079611,0,0.613133909646209,0.720824550119915
"Anx","=~","dQ15A",0.740759672975754,0.023050507356539,32.1363717300398,0,0.695581508731562,0.785937837219946
"Anx","=~","dQ19A",0.536049078822666,0.0332365141392327,16.1283182880454,0,0.470906708138114,0.601191449507218
"Anx","=~","dQ20A",0.626876686170271,0.0297397264776028,21.0787643471562,0,0.568587893364097,0.685165478976444
"Str","=~","dQ1S",0.335146555042121,0.0391946217242217,8.55083019808828,0,0.258326508074976,0.411966602009267
"Str","=~","dQ6S",0.540115761171769,0.0327558509384963,16.4891384499799,0,0.475915473049354,0.604316049294184
"Str","=~","dQ8S",0.656800113647292,0.0286276118160285,22.9428887700493,0,0.600691025524483,0.712909201770101
"Str","=~","dQ11S",0.673612193373238,0.0262371570331854,25.6739780350911,0,0.622188310531473,0.725036076215003
"Str","=~","dQ12S",0.519342006208814,0.0330020773746676,15.7366459181585,0,0.454659123139461,0.584024889278166
"Str","=~","dQ14S",0.404401426548086,0.036955851455365,10.9428253070158,0,0.331969288677559,0.476833564418614
"Str","=~","dQ18S",0.559247419722198,0.0318659420869914,17.5500042708764,0,0.496791320898256,0.62170351854614
"dQ3D","|","t1",-0.178912276453377,0.0487753012158856,-3.66809167741453,0.000244367568459802,-0.274510110171605,-0.0833144427351481
"dQ3D","|","t2",0.414309414376881,0.0500355927056888,8.28029392624295,2.22044604925031e-16,0.316241454728616,0.512377374025146
"dQ3D","|","t3",1.03867432979042,0.059306497378467,17.513668412452,0,0.92243573087941,1.15491292870144
"dQ5D","|","t1",-0.788411767833413,0.0543865893285282,-14.4964370365445,0,-0.895007524159299,-0.681816011507527
"dQ5D","|","t2",0.0281036564615938,0.0484991398283717,0.579467111397165,0.562274032018638,-0.0669529108831869,0.123160223806374
"dQ5D","|","t3",0.666291881515898,0.0526140964106329,12.6637522445647,0,0.563170147471939,0.769413615559857
"dQ10D","|","t1",-0.251818606671699,0.0490549664990749,-5.13339677189358,2.84559133367779e-07,-0.347964574272705,-0.155672639070693
"dQ10D","|","t2",0.361843731692557,0.0496634551433404,7.28591538080045,3.1952218648712e-13,0.264505148263789,0.459182315121325
"dQ10D","|","t3",0.895235970674563,0.0562582908389583,15.9129606912022,0,0.784971746798425,1.0055001945507
"dQ13D","|","t1",-0.723695819838547,0.0533991734143496,-13.5525659587096,0,-0.828356276534881,-0.619035363142213
"dQ13D","|","t2",0.0656287403314023,0.0485301330658878,1.35232970085411,0.176269867118794,-0.0294885726426742,0.160746053305479
"dQ13D","|","t3",0.680529240704735,0.0528001470506632,12.8887754810938,0,0.577042854107017,0.784015627302454
"dQ16D","|","t1",-0.275064555810669,0.0491647863688924,-5.59474730037082,2.20943334738877e-08,-0.371425766401303,-0.178703345220034
"dQ16D","|","t2",0.468028493894451,0.0504725653842977,9.27292857676018,0,0.369104083533884,0.566952904255017
"dQ16D","|","t3",1.03211943515332,0.0591562777208976,17.4473356830007,0,0.916175261360909,1.14806360894573
"dQ17D","|","t1",-0.152330790885215,0.0486971903959479,-3.12812278586591,0.00175926670179893,-0.247775530209563,-0.0568860515608674
"dQ17D","|","t2",0.353824646225224,0.0496115479027616,7.13190096222595,9.8987484875579e-13,0.256587799118528,0.45106149333192
"dQ17D","|","t3",0.861976605538718,0.0556447366647283,15.4907122794437,0,0.752914925746636,0.971038285330801
"dQ21D","|","t1",0.140979660525276,0.0486676800640453,2.89678201919119,0.00377011612021727,0.045592760388629,0.236366560661922
